lon,lat,name,address,pname,cityname,adname,business_area,type,typecode,id,type1,type2,type3,type4
113.55302560936963,22.191416998612038,叠记咖喱(皇朝星海店),冼星海大马路423-427号,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0JD9RXOTM,餐饮服务,餐饮相关场所,餐饮相关,
113.5530526763377,22.191301003889336,星海茶餐室(星海豪庭店),宋玉生广场(皇朝)冼星海大马路407号,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;快餐厅;茶餐厅,050305,B073D00F8C,餐饮服务,快餐厅,茶餐厅,
113.55267984580179,22.191407392908665,天福台式铁板烧(星海豪庭店),柏林街260号(澳门柏林街148号),澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFIXJSJS,餐饮服务,中餐厅,中餐厅,
113.55301760594266,22.191192904212116,鮨玥(星海豪庭店),冼星海大马路399号(澳门巴黎街255号星海豪庭地下AA座),澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;外国餐厅;外国餐厅,050200,B0H2P7R73X,餐饮服务,外国餐厅,外国餐厅,
113.55183296898987,22.191163810467387,举杯烤肉专门店,宋玉生广场(皇朝)马济时总督大马路430号星海豪庭1楼A铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFG7ZD5L,餐饮服务,中餐厅,中餐厅,
113.5522569656865,22.190443303244813,孖宝美食(南岸花园店),马济时总督大马路352-362号南岸花园正街地下AD铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFIH1ODJ,餐饮服务,中餐厅,中餐厅,
113.55223391131211,22.1904882787303,三宝冰室(皇朝店),澳门马济时总督大马路南岸花园365号AH铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFHY9V54,餐饮服务,中餐厅,中餐厅,
113.55152833307042,22.190345971640653,青洲灶记咖啡(富达花园店),巴黎街富达花园地铺G,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;咖啡厅;咖啡厅,050500,B0FFJ0AHKG,餐饮服务,咖啡厅,咖啡厅,
113.55196733476046,22.19016068855966,茶茶子外带寿司(富达花园店),马济时总督大马路345号富达花园地下,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;外国餐厅;日本料理,050202,B0FFL94KU5,餐饮服务,外国餐厅,日本料理,
113.55122460972885,22.190880617494095,面屋黑桂华(大丰广场晓丰阁店),"柏林街112号,大丰广场翠丰阁地下及一楼K座",澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFIWSU52,餐饮服务,餐饮相关场所,餐饮相关,
